"Company","cik","deal_url"
"Nissan Auto Receivables 2017-B Owner Trust","0001712665","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001712665&action=getcompany"
"Nissan Auto Receivables 2017-C Owner Trust","0001723370","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001723370&action=getcompany"
"Nissan Auto Receivables 2018-A Owner Trust","0001730276","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001730276&action=getcompany"
"Nissan Auto Receivables 2018-B Owner Trust","0001743852","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001743852&action=getcompany"
"Nissan Auto Receivables 2018-C Owner Trust","0001759384","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001759384&action=getcompany"
"NISSAN AUTO RECEIVABLES CORP II","0001129068","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001129068&action=getcompany"
"SANTANDER DRIVE AUTO RECEIVABLES LLC","0001383094","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001383094&action=getcompany"
"Santander Drive Auto Receivables Trust 2017-1","0001696935","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001696935&action=getcompany"
"Santander Drive Auto Receivables Trust 2018-1","0001726794","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001726794&action=getcompany"
"Santander Drive Auto Receivables Trust 2018-2","0001735033","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001735033&action=getcompany"
"Santander Drive Auto Receivables Trust 2018-3","0001742444","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001742444&action=getcompany"
"Santander Drive Auto Receivables Trust 2018-4","0001748011","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001748011&action=getcompany"
"Santander Drive Auto Receivables Trust 2018-5","0001753581","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001753581&action=getcompany"
"TOYOTA AUTO FINANCE RECEIVABLES LLC","0001131131","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001131131&action=getcompany"
"Toyota Auto Receivables 2017-A Owner Trust","0001694919","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001694919&action=getcompany"
"Toyota Auto Receivables 2017-B Owner Trust","0001704304","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001704304&action=getcompany"
"Toyota Auto Receivables 2017-C Owner Trust","0001709987","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001709987&action=getcompany"
"Toyota Auto Receivables 2017-D Owner Trust","0001718100","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001718100&action=getcompany"
"Toyota Auto Receivables 2018-A Owner Trust","0001725585","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001725585&action=getcompany"
"Toyota Auto Receivables 2018-B Owner Trust","0001736712","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001736712&action=getcompany"
"Toyota Auto Receivables 2018-C Owner Trust","0001745763","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001745763&action=getcompany"
"Toyota Auto Receivables 2018-D Owner Trust","0001754189","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001754189&action=getcompany"
"UBS Commercial Mortgage Securitization Corp.","0001532799","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001532799&action=getcompany"
"UBS Commercial Mortgage Trust 2017-C1","0001706060","https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001706060&action=getcompany"
